LATENCY COMPARISON: Self-Hosted AWS vs VAPI (Cloud),,,,
,,,,
Note: AWS latency measured from actual project. VAPI latency from public benchmarks.,,,,
,,,,
Speech-to-Text (STT),Model,AWS Latency,VAPI Latency,
,Whisper Tiny (local),~200ms,-,
,Whisper Base (local),~300ms,-,
,Whisper Medium (local),~500ms,-,
,Deepgram Nova-2 (cloud),-,~100-150ms,
,,,,
LLM - AI Response,Model,AWS Latency,VAPI Latency,
,Llama 3.2 (1B) - local,~300ms,-,
,Llama 3.2 (3B) - local,~500ms,-,
,Llama 3.1 (8B) - local,~600ms,-,
,Mistral (7B) - local,~700ms,-,
,GPT-4o-mini (cloud),-,~300-500ms,
,GPT-4o (cloud),-,~500-800ms,
,,,,
Text-to-Speech (TTS),Model,AWS Latency,VAPI Latency,
,Piper (local),~150-400ms,-,
,ElevenLabs (cloud),-,~100-200ms,
,Cartesia (cloud),-,~80-120ms,
,,,,
Total First Response (end-to-end),Config,AWS Latency,VAPI Latency,
,Best quality (8B + Whisper base + Piper),886ms (measured),-,
,Fast (3B + Whisper tiny + Piper),~600ms (estimated),-,
,VAPI Standard (Deepgram + GPT-4o-mini + ElevenLabs),-,~500-800ms,
,VAPI Fast (Deepgram + GPT-4o-mini + Cartesia),-,~400-600ms,
,,,,
Quality Comparison,Metric,AWS (Local),VAPI (Cloud),
,Voice naturalness,5/10,9/10,
,Transcription accuracy,7/10,9/10,
,AI response quality,7/10,9/10,
,Context memory,7/10,9/10,
,,,,
Cost Comparison,Metric,AWS (Local),VAPI (Cloud),
,Cost per call (3 min),$0.07,$0.15-0.25,
,Monthly fixed cost,$14-438,$0,
,Break-even point,~800+ calls/month,-,
,,,,
Overall Summary,Metric,AWS (Local),VAPI (Cloud),
,Latency,Good (886ms),Better (500-800ms),
,Quality,6-7/10,8-9/10,
,Cost per call,Cheaper ($0.07),Higher ($0.15-0.25),
,Data privacy,Full control,Third-party,
,Maintenance,Self-managed,Zero,
,Internet dependency,Only Twilio,Everything,
